Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
UCO - LA REUNION,Saint-Denis,974.0,True,Autre formation,DSP - Formation aux métiers de la sécurité et de la gendarmerie
Lycée professionnel Chateauboeuf,Fort-de-France,972.0,True,Autre formation,Production et réparation de produits électroniques
I.U.T de Rennes,Rennes,35.0,True,BUT,Chimie
I.U.T de Rennes,Rennes,35.0,True,BUT,Génie civil - Construction durable
I.U.T de Rennes,Rennes,35.0,True,BUT,Génie électrique et informatique industrielle
I.U.T de Rennes,Rennes,35.0,True,BUT,Gestion des entreprises et des administrations
I.U.T de Rennes,Rennes,35.0,True,BUT,Carrières sociales Parcours animation sociale et socioculturelle
Lycée agricole Theodore Monod,Le Rheu,35.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Lycée agricole Theodore Monod,Le Rheu,35.0,True,BTS,Gestion et maitrise de l'eau
Lycée agricole Theodore Monod,Le Rheu,35.0,True,BTS,Aménagements paysagers
Lycée Francois René De Chateaubriand,Rennes,35.0,True,CPGE,MPSI
Lycée Saint-Louis,Crest,26.0,True,Autre formation,Production et réparation de produits électroniques
Lycée Marcel Callo,Redon,35.0,True,BTS,Electrotechnique
Lycée / Pôle Sup de La Salle - Groupe Saint Jean,Rennes,35.0,True,BTS,Assurance
ENIM Metz,Metz,57.0,True,Ecole d'Ingénieur,bac STI2D
Lycée Frédéric OZANAM,Cesson-Sévigné,35.0,True,BTS,Management Commercial Opérationnel
Université de Rennes (EPE),Rennes,35.0,True,Licence,Excellence - Rennes
UFR Sciences Sociales - Université de Rennes 2 - Site de Saint-Brieuc,Saint-Brieuc,22.0,False,Licence,Antenne universitaire de la ville de Saint Brieuc - Histoire
Université de Rennes 2,Rennes,35.0,False,Licence,Administration Economique  et Sociale (site de Rennes)
UFR Sciences Sociales - Université de Rennes 2 - Site de Saint-Brieuc,Saint-Brieuc,22.0,False,Licence,Antenne universitaire de la ville de Saint Brieuc - Administration Economique et  Sociale
Université de Rennes 2,Rennes,35.0,False,Licence,Etudes Arabes - confirmé  (niveau B1/B2 attendu)
Université de Rennes 2,Rennes,35.0,False,Licence,Chinois - confirmé  (niveau B1/B2 attendu)
ISEN Ouest Nantes,Carquefou,44.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
Lycée Victor et Hélène BASCH,Rennes,35.0,True,BTS,Services informatiques aux organisations
CFTA,Montfort-sur-Meu,35.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Lycée agricole de Saint-Cyran-du-Jambot,Saint-Cyran-du-Jambot,36.0,True,BTS,productions animales
Université d'Orléans - Centre Univ. de Châteauroux,Châteauroux,36.0,False,Licence,Economie et gestion
EPITA Strasbourg,Strasbourg,67.0,True,Ecole d'Ingénieur,Bac Série générale
IUT de l'Indre,Issoudun,36.0,True,BUT,Management de la Logistique et des Transports
IUT de l'Indre,Issoudun,36.0,True,BUT,Techniques de commercialisation
Lycée Francois Rabelais,Chinon,37.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Lycée Balzac,Tours,37.0,True,BTS,Management Commercial Opérationnel
Lycée Choiseul,Tours,37.0,True,BTS,Management Commercial Opérationnel
Lycée Choiseul,Tours,37.0,True,BTS,Gestion de la PME
Lycée Grandmont,Tours,37.0,True,BTS,Métiers de la mesure
Lycée Grandmont,Tours,37.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Lycée Grandmont,Tours,37.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée Saint Gatien,Joué-lès-Tours,37.0,True,BTS,Bâtiment
Campus Sainte Marguerite,Chambray-lès-Tours,37.0,True,BTS,Communication
Lycée agricole de TOURS FONDETTES,Fondettes,37.0,True,BTS,"Métiers du Végétal : Alimentation, Ornement, Environnement"
Lycée agricole de TOURS FONDETTES,Fondettes,37.0,True,BTS,Viticulture-Oenologie
Université de Tours,Tours,37.0,False,Licence,Géographie et aménagement
Université de Tours,Tours,37.0,False,Licence,Psychologie
Lycée Marmoutier,Tours,37.0,True,BTS,Analyses de biologie médicale
Lycée L'Oiselet,Bourgoin-Jallieu,38.0,True,BTS,Comptabilité et gestion
Lycée Louise Michel,Grenoble,38.0,True,BTS,Bioanalyses et contrôles
Lycée Louise Michel,Grenoble,38.0,True,BTS,Banque
Lycée Louise Michel,Grenoble,38.0,True,BTS,Economie sociale familiale
Ecole des Pupilles de l'Air - lycée de la défense,Montbonnot-Saint-Martin,38.0,True,CPGE,MPSI
Lycée Robin,Vienne,38.0,True,BTS,Commerce International
Lycée Robin,Vienne,38.0,True,BTS,Management Commercial Opérationnel
I.U.T. 2 de Grenoble,Grenoble,38.0,True,BUT,Techniques de commercialisation
