Etablissement,Ville,Département,Sélectif,Type de formation,Filière sélectionnée
Lycée Pierre-Gilles de Gennes - ENCPB,Paris 13e  Arrondissement,75.0,True,BTS,Biotechnologies
Lycée Estienne Esaig,Paris 13e  Arrondissement,75.0,True,BTS,Etudes de réalisation d'un projet de communication - 1ère année commune
ISEN Méditerranée,Toulon,83.0,True,Ecole d'Ingénieur,Bacs généraux - 2 Sciences
Lycée Raspail,Paris 14e  Arrondissement,75.0,True,CPGE,PCSI
Lycée Raspail,Paris 14e  Arrondissement,75.0,True,BTS,"Fluide, énergie, domotique - option A génie climatique et fluidique"
Lycée Raspail,Paris 14e  Arrondissement,75.0,True,BTS,Conseil et commercialisation de solutions techniques
Lycée Buffon,Paris 15e  Arrondissement,75.0,True,CPGE,PCSI
Lycée Roger Verlomme,Paris 15e  Arrondissement,75.0,True,BTS,Comptabilité et gestion
Lycée Batiment-Saint-Lambert,Paris 19e  Arrondissement,75.0,True,BTS,Travaux publics
Lycée Janson De Sailly,Paris 16e  Arrondissement,75.0,True,CPGE,Lettres
Lycée Jean-Baptiste Say,Paris 16e  Arrondissement,75.0,True,CPGE,BCPST
Ecole Nationale De Commerce,Paris 17e  Arrondissement,75.0,True,CPGE,ENS Cachan D2
Ecole Nationale De Commerce,Paris 17e  Arrondissement,75.0,True,BTS,Support à l'action managériale
Ecole Nationale De Commerce,Paris 17e  Arrondissement,75.0,True,BTS,Commerce International
Lycée Diderot,Paris 19e  Arrondissement,75.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Henri Bergson-Jacquard,Paris 19e  Arrondissement,75.0,True,BTS,Assistance technique d'ingénieur
Lycée Hélène Boucher,Paris 20e  Arrondissement,75.0,True,CPGE,Lettres
Lycée Maurice Ravel,Paris 20e  Arrondissement,75.0,True,BTS,Professions immobilières
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,False,Licence,Arts plastiques
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,False,Licence,Droit
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,True,Licence,Droits français et espagnol
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,True,Licence,Droit - Economie
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,True,Licence,Histoire - Histoire de l'art et Archéologie
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,False,Licence,Histoire - Etudes juives
Université Paris 1 Panthéon Sorbonne,Paris  5e  Arrondissement,75.0,True,Licence,Droit - Gestion
Université Paris Panthéon Assas,Paris  5e  Arrondissement,75.0,False,Licence,Droit
Université Sorbonne Nouvelle Paris 3,Paris 12e  Arrondissement,75.0,False,Licence,Cinéma et Audiovisuel - Mineure Théâtre
Université Sorbonne Nouvelle Paris 3,Paris 12e  Arrondissement,75.0,False,Licence,Lettres - Mineure Professorat des écoles
Université Sorbonne Nouvelle Paris 3,Paris 12e  Arrondissement,75.0,False,Licence,Allemand Etudes germaniques - Mineure Information-Communication
Université Sorbonne Nouvelle Paris 3,Paris 12e  Arrondissement,75.0,False,Licence,LEA  Anglais - Portugais
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER :  BOSNIAQUE-CROATE-MONTENEGRIN-SERBE
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER : PORTUGAIS
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER :  ANGLAIS
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER : NEERLANDAIS
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LLCER : ALLEMAND NON DEBUTANT
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LETTRES CLASSIQUES
Sorbonne université,Paris  6e  Arrondissement,75.0,False,Licence,LETTRES MODERNES
Sorbonne université,Paris  6e  Arrondissement,75.0,True,Licence,LETTRES MODERNES - LLCER ESPAGNOL
Sorbonne université,Paris  6e  Arrondissement,75.0,True,Licence,HISTOIRE - GEOGRAPHIE
Sorbonne université,Paris  6e  Arrondissement,75.0,True,Licence,HISTOIRE - LLCER ITALIEN NON DEBUTANT
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence,Sciences et Techniques des Activités Physiques et Sportives
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence,Economie et gestion
Université Paris Cité,Paris  6e  Arrondissement,75.0,True,Autre formation,Cycle universitaire préparatoire aux grandes écoles
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence,LEA Anglais Espagnol
Université Paris Cité,Paris  6e  Arrondissement,75.0,True,Licence,Lettres et Arts
Université Paris Cité,Paris  6e  Arrondissement,75.0,True,Licence,LEA Anglais Chinois
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence,Mathématiques et informatique appliquées aux sciences humaines et sociales
Université Paris Cité,Paris  6e  Arrondissement,75.0,False,Licence,Psychologie et Humanités
Institut Supérieur Clorivière,Paris 12e  Arrondissement,75.0,True,BTS,Economie sociale familiale
IPC-Facultés Libres de Philosophie et de Psycholog,Paris 14e  Arrondissement,75.0,True,Licence,Psychologie
Lycée Jean Lurcat,Paris 13e  Arrondissement,75.0,True,BTS,Professions immobilières
INALCO,Paris,75.0,False,Licence,Parcours Afrique et océan Indien - Berbère
INALCO,Paris,75.0,False,Licence,Asie du Sud-Est et Pacifique - Siamois (Thaï)
INALCO,Paris,75.0,False,Licence,Asie du Sud-Est et Pacifique - Vietnamien
INALCO,Paris,75.0,False,Licence,Asie du Sud et Himalaya - Ourdou
INALCO,Paris,75.0,False,Licence,parcours Afrique et océan Indien - Malgache
INALCO,Paris,75.0,False,Licence,Asie du Sud et Himalaya -  Rromani
INALCO,Paris,75.0,False,Licence,Asie du Sud et Himalaya - Tibétain
INALCO,Paris,75.0,False,Licence,Parcours Arabe littéral
INALCO,Paris,75.0,False,Licence,Europe - Slovène
INALCO,Paris,75.0,False,Licence,Parcours Europe - Roumain
INALCO,Paris,75.0,False,Licence,Europe - Macédonien
INALCO,Paris,75.0,False,Licence,Parcours Russie - Russe
INALCO,Paris,75.0,False,Licence,Parcours Eurasie - Turc
INALCO,Paris,75.0,False,Licence,Eurasie - Persan
Lycée ESTBA,Paris 20e  Arrondissement,75.0,True,BTS,Bioanalyses et contrôles
Institut Catholique de Paris (ICP)- Campus de Paris,Paris  6e  Arrondissement,75.0,False,Licence,Espagnol  - Arts et cultures du monde hispanique
Lycée Carcado Saisseval,Paris  6e  Arrondissement,75.0,True,BTS,Commerce International
Lycée Carcado Saisseval,Paris  6e  Arrondissement,75.0,True,BTS,Communication
Lycée Le Rebours,Paris 13e  Arrondissement,75.0,True,CPGE,ECT - Option technologique
Lycée Charles De Foucauld,Paris 18e  Arrondissement,75.0,True,BTS,Services informatiques aux organisations
IUT de Paris - Rives de Seine - Université Paris Cité,Paris 16e  Arrondissement,75.0,True,BUT,Gestion des entreprises et des administrations
IUT de Paris - Rives de Seine - Université Paris Cité,Paris 16e  Arrondissement,75.0,True,BUT,Information communication Parcours publicité
Institut universitaire de technologie de Paris Pajol - Université Paris Cité,Paris 18e  Arrondissement,75.0,True,BUT,Mesures physiques
Lycée Thomas Corneille,Barentin,76.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée Jehan Ango,Dieppe,76.0,True,BTS,Comptabilité et gestion
Lycée François 1er,Le Havre,76.0,True,CPGE,PCSI
Lycée Porte-Océane,Le Havre,76.0,True,BTS,Gestion de la PME
Lycée Schuman Perret,Le Havre,76.0,True,BTS,Contrôle industriel et régulation automatique
Lycée Guillaume Le Conquérant,Lillebonne,76.0,True,BTS,Comptabilité et gestion
Lycée Jean Prevost,Montivilliers,76.0,True,BTS,Commerce International
Lycée Pierre Corneille,Rouen,76.0,True,CPGE,PCSI
Lycée Jeanne D'Arc,Rouen,76.0,True,CPGE,Lettres
Lycée Jeanne D'Arc,Rouen,76.0,True,BTS,Gestion de la PME
Lycée Camille Saint-Saens,Rouen,76.0,True,BTS,Tourisme
Ecole Nationale Supérieure d'Architecture de Normandie,Darnétal,76.0,True,Autre formation,Architecture
Institut National des Formations Notariales,Rouen,76.0,True,BTS,Collaborateur juriste notarial
I.U.T de Rouen,Mont-Saint-Aignan,76.0,True,BUT,Métiers de la Transition et de l'Efficacité Énergétiques
I.U.T De Rouen - Site d'Elbeuf,Elbeuf,76.0,True,BUT,Réseaux et télécommunications
I.U.T De Rouen - Site Pasteur,Rouen,76.0,True,BUT,Carrières juridiques
Lycée La Chataigneraie,Le Mesnil-Esnard,76.0,True,BTS,Services informatiques aux organisations
I.U.T du Havre,Le Havre,76.0,True,BUT,Génie mécanique et productique
I.U.T du Havre,Le Havre,76.0,True,BUT,Gestion des entreprises et des administrations
I.U.T du Havre,Le Havre,76.0,True,BUT,Techniques de commercialisation
Lycée Sacre-Coeur,Rouen,76.0,True,BTS,Assurance
Lycée Jeanne D'Arc,Sainte-Adresse,76.0,True,BTS,Support à l'action managériale
Lycée Jeanne D'Arc,Sainte-Adresse,76.0,True,BTS,Service et prestation des secteurs sanitaire et social
Lycée Jeanne D'Arc,Sainte-Adresse,76.0,True,BTS,Management Commercial Opérationnel
Lycée Val De Seine,Le Grand-Quevilly,76.0,True,BTS,Gestion de la PME
Université de Rouen Normandie - Campus Mont-Saint-Aignan,Mont-Saint-Aignan,76.0,False,Licence,Allemand/Anglais
Université de Rouen Normandie - Campus Pasteur Rouen,Rouen,76.0,False,Licence,Droit
Université de Rouen Normandie - Campus Pasteur Rouen,Rouen,76.0,False,Licence,Droit
Université Le Havre Normandie,Le Havre,76.0,False,Licence,Droit Classique
Université Le Havre Normandie,Le Havre,76.0,False,Licence,Administration économique et sociale
Université Le Havre Normandie,Le Havre,76.0,True,Licence,Droit bilingue anglo-américain
Lycée professionnel Lavoisier,Le Havre,76.0,True,BTS,Maintenance des véhicules option véhicules de transport routier
Lycée Raymond Queneau,Yvetot,76.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Le Corbusier,Saint-Etienne-du-Rouvray,76.0,True,BTS,"Fluide, énergie, domotique - option A génie climatique et fluidique"
Lycée Uruguay France,Avon,77.0,True,BTS,Economie sociale familiale
Lycée polyvalent La Fayette,Champagne-sur-Seine,77.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Lycée Gaston BACHELARD,Chelles,77.0,True,BTS,Electrotechnique
Lycée Pierre de Coubertin,Meaux,77.0,True,CPGE,PTSI
Lycée Pierre de Coubertin,Meaux,77.0,True,BTS,Support à l'action managériale
Lycée Pierre de Coubertin,Meaux,77.0,True,BTS,Comptabilité et gestion
Lycée Jacques Amyot,Melun,77.0,True,CPGE,PCSI
Lycée Leonard De Vinci,Melun,77.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée André Malraux,Montereau-Fault-Yonne,77.0,True,BTS,Etudes de réalisation d'un projet de communication - 1ère année commune
Lycée Thibaut de Champagne,Provins,77.0,True,BTS,Gestion de la PME
Lycée professionnel Benjamin Franklin,La Rochette,77.0,True,BTS,Enveloppe des bâtiments : conception et réalisation
Lycée Joliot Curie,Dammarie-les-Lys,77.0,True,BTS,Commerce International
Lycée professionnel Louis Lumiere,Chelles,77.0,True,BTS,Négociation et digitalisation de la Relation Client
Institution Saint Aspais,Melun,77.0,True,BTS,Services informatiques aux organisations
Lycée Jean Moulin,Torcy,77.0,True,BTS,Tourisme
Lycée Galilee,Combs-la-Ville,77.0,True,BTS,Commerce International
Lycée Martin Luther King,Bussy-Saint-Georges,77.0,True,BTS,Assistance technique d'ingénieur
I.U.T de Marne la Vallée - Antenne de Meaux,Meaux,77.0,True,BUT,Gestion des entreprises et des administrations
I.U.T de Marne la Vallée,Champs-sur-Marne,77.0,True,BUT,Génie civil - Construction durable
I.U.T de Marne la Vallée,Champs-sur-Marne,77.0,True,BUT,Informatique
Université Gustave Eiffel,Champs-sur-Marne,77.0,False,Licence,LANGUES ÉTRANGÈRES APPLIQUÉES : Anglais-Espagnol
Université Gustave Eiffel,Champs-sur-Marne,77.0,True,Licence,ARTS : Musique et métiers du son
Université Gustave Eiffel,Champs-sur-Marne,77.0,False,Licence,"PHYSIQUE, CHIMIE : Physique-Chimie"
Université Gustave Eiffel,Champs-sur-Marne,77.0,False,Licence,SOCIOLOGIE : Sociologie
Université Paris- Est- Créteil Val de Marne UPEC - Antenne de Sénart,Lieusaint,77.0,False,Licence,STAPS - site de Sénart
Ecole Nationale Supérieure d'Architecture de Paris-Est,Marne-la-Vallée,77.0,True,Autre formation,Architecture
Lycée Agricole de Saint Germain en Laye/Chambourcy,Saint-Germain-en-Laye,78.0,True,BTS,"Métiers du Végétal : Alimentation, Ornement, Environnement"
Lycée Militaire de Saint-Cyr,Saint-Cyr-l'Ecole,78.0,True,CPGE,MPSI
Lycée Francois Villon,Les Mureaux,78.0,True,BTS,Comptabilité et gestion
Lycée Plaine De Neauphle,Trappes,78.0,True,BTS,Professions immobilières
Lycée Hotellerie Et Tourisme,Guyancourt,78.0,True,Autre formation,Hôtellerie restauration
Lycée Charles De Gaulle,Poissy,78.0,True,BTS,Conception et industrialisation en microtechniques
Lycée LAVOISIER,Porcheville,78.0,True,BTS,Travaux publics
I.U.T. de Mantes en Yvelines,Mantes-la-Jolie,78.0,True,BUT,Génie mécanique et productique
Lycée Jeanne D'Albret,Saint-Germain-en-Laye,78.0,True,CPGE,Lettres
Lycée Saint Exupéry,Mantes-la-Jolie,78.0,True,CPGE,MPSI
Lycée Saint Exupéry,Mantes-la-Jolie,78.0,True,BTS,Support à l'action managériale
Lycée Jean Rostand,Mantes-la-Jolie,78.0,True,BTS,Electrotechnique
Lycée Jean-Baptiste Poquelin,Saint-Germain-en-Laye,78.0,True,BTS,Comptabilité et gestion
Lycée Jean-Baptiste Poquelin,Saint-Germain-en-Laye,78.0,True,Autre formation,Diplôme de Comptabilité et de Gestion
Lycée Hoche,Versailles,78.0,True,CPGE,PCSI
Lycée Jules Ferry,Versailles,78.0,True,BTS,Electrotechnique
Lycée Marie Curie,Versailles,78.0,True,BTS,Collaborateur juriste notarial
Lycée Marie Curie,Versailles,78.0,True,BTS,Support à l'action managériale
Lycée Notre-Dame Les Oiseaux,Verneuil-sur-Seine,78.0,True,BTS,Métiers de la chimie
Lycée Notre Dame du Grandchamp,Versailles,78.0,True,BTS,Commerce International
Lycée Notre Dame du Grandchamp,Versailles,78.0,True,BTS,Comptabilité et gestion
CHEPP du Tremblay sur Mauldre,Le Tremblay-sur-Mauldre,78.0,True,BTS,Gestion et protection de la nature
EIGSI La Rochelle,La Rochelle,17.0,True,Ecole d'Ingénieur,Bac série générale avec la spécialité Maths en Terminale + une spécialité scientifique
Lycée Camille Claudel,Mantes-la-Ville,78.0,True,BTS,Management Commercial Opérationnel
Lycée Maurice Genevoix,Bressuire,79.0,True,BTS,Gestion de la PME
Lycée Ernest Perochon,Parthenay,79.0,True,BTS,Management Commercial Opérationnel
Lycée de la Venise Verte,Niort,79.0,True,BTS,Service et prestation des secteurs sanitaire et social
I.U.T. Poitiers (site Niort),Niort,79.0,True,BUT,Hygiène Sécurité Environnement
Lycée Boucher De Perthes,Abbeville,80.0,True,BTS,Support à l'action managériale
Lycée Louis Thuillier,Amiens,80.0,True,CPGE,MPSI
Lycée des Métiers Édouard Gand,Amiens,80.0,True,BTS,Support à l'action managériale
Lycée des Métiers Édouard Gand,Amiens,80.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée des Métiers Édouard Gand,Amiens,80.0,True,BTS,Banque
Lycée Sacre-Coeur,Amiens,80.0,True,BTS,Management Commercial Opérationnel
Lycée Edouard Branly,Amiens,80.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Lycée Edouard Branly,Amiens,80.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Université d'Amiens,Amiens,80.0,False,Licence,Physique
Université d'Amiens,Amiens,80.0,False,Licence,Chimie
Université d'Amiens,Amiens,80.0,False,Licence,Géographie et aménagement
Lycée Sainte Colette,Corbie,80.0,True,BTS,"Analyses biologiques, biotechnologiques, agricoles et environnementales"
Lycée Jean- Baptiste Delambre,Amiens,80.0,True,BTS,Electrotechnique
Lycée La Hotoie,Amiens,80.0,True,BTS,Management Commercial Opérationnel
Lycée La Hotoie,Amiens,80.0,True,BTS,Professions immobilières
Lycée La Hotoie,Amiens,80.0,True,BTS,Gestion de la PME
Lycée Saint Martin,Amiens,80.0,True,BTS,Management en hôtellerie restauration
Lycée Louis Rascol,Albi,81.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Louis Rascol,Albi,81.0,True,BTS,Electrotechnique
Lycée Louis Rascol,Albi,81.0,True,BTS,Conseil et commercialisation de solutions techniques
Lycée Louis Rascol,Albi,81.0,True,BTS,Comptabilité et gestion
Lycée Jean Jaures,Carmaux,81.0,True,BTS,Techniques et services en matériels agricoles
L.E.G.T.A. Albi - Fonlabour,Albi,81.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
L.E.G.T.A. Albi - Fonlabour,Albi,81.0,True,BTS,Gestion et maitrise de l'eau
L.E.G.T.A. Albi - Fonlabour,Albi,81.0,True,BTS,Aménagements paysagers
Lycée La Borde Basse,Castres,81.0,True,CPGE,MPSI
Lycée La Borde Basse,Castres,81.0,True,BTS,Bioqualité
I.U.T de Toulouse - Antenne de Castres,Castres,81.0,True,BUT,"Packaging, emballage et conditionnement"
I.U.T de Toulouse - Antenne de Castres,Castres,81.0,True,BUT,Métiers du multimédia et de l'internet
Institut national universitaire Champollion,Albi,81.0,False,Licence,Anglais
Institut national universitaire Champollion,Albi,81.0,False,Licence,"Physique, chimie"
Lycée Antoine Bourdelle,Montauban,82.0,True,BTS,Conception et Réalisation de Systèmes Automatiques
Lycée Antoine Bourdelle,Montauban,82.0,True,BTS,Management Commercial Opérationnel
L.E.G.T.A. Montauban - Capou,Montauban,82.0,True,BTS,Technico-commercial - Spécialité alimentation et boisson
Lycée Raynouard,Brignoles,83.0,True,BTS,Gestion de la PME
Lycée Beaussier,La Seyne-sur-Mer,83.0,True,BTS,Support à l'action managériale
Lycée Dumont d'Urville,Toulon,83.0,True,CPGE,Lettres
Lycée professionnel Parc Saint Jean,Toulon,83.0,True,BTS,Economie sociale familiale
I.U.T de Toulon,La Garde,83.0,True,BUT,Génie industriel et maintenance
Université de Toulon,La Garde,83.0,False,Licence,Licence STAPS
Université de Toulon,La Garde,83.0,False,Licence,Licence de Biologie
Université de Toulon,La Garde,83.0,False,Licence,Licence de Physique et Chimie
Université de Toulon,La Garde,83.0,False,Licence,Licence de Mathématiques
I.U.T de Toulon - Antenne de Draguignan,Draguignan,83.0,True,BUT,Gestion des entreprises et des administrations
Lycée Costebelle,Hyères,83.0,True,BTS,Analyses de biologie médicale
Lycée Rouvière,Toulon,83.0,True,BTS,Contrôle industriel et régulation automatique
Lycée Rouvière,Toulon,83.0,True,BTS,Conception des processus de réalisation de produits (1ère année commune)
Lycée Frédéric Mistral,Avignon,84.0,True,Autre formation,Préparation au concours IEP
Lycée Theodore Aubanel,Avignon,84.0,True,BTS,Comptabilité et gestion
Lycée Alphonse Benoit,L'Isle-sur-la-Sorgue,84.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Alphonse Benoit,L'Isle-sur-la-Sorgue,84.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
Lycée Louis Pasteur,Avignon,84.0,True,BTS,Management Commercial Opérationnel
Lycée Louis Pasteur,Avignon,84.0,True,BTS,Comptabilité et gestion
Lycée agricole François Pétrarque,Avignon,84.0,True,BTS,"QUalité, ALimentation, Innovation et Maîtrise Sanitaire (BioQUALIM) aliments et processus technologiques"
Lycée agricole LOUIS GIRAUD,Carpentras,84.0,True,BTS,"Développement, animation des territoires ruraux"
Avignon Université,Avignon,84.0,False,Licence,Anglais - Espagnol
Avignon Université,Avignon,84.0,False,Licence,ESPAGNOL
Avignon Université,Avignon,84.0,False,Licence,Lettres
Avignon Université,Avignon,84.0,False,Licence,Histoire
Avignon Université,Avignon,84.0,False,Licence,Mathématiques et Interactions
Lycée St Jean Baptiste De La Salle,Avignon,84.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée St Jean Baptiste De La Salle,Avignon,84.0,True,BTS,Electrotechnique
I.U.T. d'Avignon,Avignon,84.0,True,BUT,Science des données
Lycée Georges CLEMENCEAU,Chantonnay,85.0,True,BTS,Comptabilité et gestion
Lycée ATLANTIQUE,Luçon,85.0,True,BTS,Tourisme
Lycée Polyvalent Rosa Parks,La Roche-sur-Yon,85.0,True,BTS,Etude et réalisation d'agencement
Lycée Polyvalent Rosa Parks,La Roche-sur-Yon,85.0,True,BTS,Conception et Réalisation de Systèmes Automatiques
Lycée Polyvalent Rosa Parks,La Roche-sur-Yon,85.0,True,BTS,Management économique de la construction
Lycée Polyvalent Rosa Parks,La Roche-sur-Yon,85.0,True,BTS,Conception des processus de réalisation de produits (1ère année commune)
LGT Savary de Mauléon,Les Sables-d'Olonne,85.0,True,BTS,Services informatiques aux organisations
Lycée Francois Rabelais,Fontenay-le-Comte,85.0,True,BTS,Négociation et digitalisation de la Relation Client
Lycée général et technologique privé Jean XXIII,Les Herbiers,85.0,True,BTS,Management Commercial Opérationnel
Lycée Notre Dame Du Roc,La Roche-sur-Yon,85.0,True,BTS,Collaborateur juriste notarial
Lycée Notre Dame Du Roc,La Roche-sur-Yon,85.0,True,BTS,Comptabilité et gestion
Lycée Ste Marie Du Port,Les Sables-d'Olonne,85.0,True,BTS,Professions immobilières
Lycée agricole Bel Air,Fontenay-le-Comte,85.0,True,BTS,"Développement, animation des territoires ruraux"
Lycée agricole Lucon-Petre,Sainte-Gemme-la-Plaine,85.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Lycée polyvalent privé Notre Dame,Fontenay-le-Comte,85.0,True,IFSI,DTS Imagerie médicale et radiologie thérapeutique
Lycée Leonard de Vinci,Montaigu-Vendée,85.0,True,BTS,Métiers de l'audio-visuel opt : montage et post-production
ICES - Institut Catholique de Vendée,La Roche-sur-Yon,85.0,True,Licence,Lettres
I.U.T. La Roche-sur-Yon,La Roche-sur-Yon,85.0,True,BUT,Information communication Parcours communication des organisations
I.U.T. La Roche-sur-Yon,La Roche-sur-Yon,85.0,True,BUT,Information communication Parcours métiers du livre et du patrimoine
Nantes Université (La Roche),La Roche-sur-Yon,85.0,False,Licence,"LEA : LV1:anglais - LV2:chinois, allemand, espagnol, italien"
Nantes Université (La Roche),La Roche-sur-Yon,85.0,False,Licence,Double cursus : Droit - LEA
Cite Technique Edouard Branly,Châtellerault,86.0,True,BTS,Professions immobilières
Lycée Jean Moulin,Montmorillon,86.0,True,BTS,Gestion de la PME
Lycée Victor-Hugo,Poitiers,86.0,True,BTS,Commerce International
Lycée Camille Guérin,Poitiers,86.0,True,CPGE,PCSI
Lycée Camille Guérin,Poitiers,86.0,True,CPGE,Lettres
Lycée Aliénor d' Aquitaine,Poitiers,86.0,True,BTS,Collaborateur juriste notarial
Lycée Aliénor d' Aquitaine,Poitiers,86.0,True,BTS,Comptabilité et gestion
Lycée Aliénor d' Aquitaine,Poitiers,86.0,True,BTS,Services informatiques aux organisations
I.U.T. Poitiers,Poitiers,86.0,True,BUT,Chimie
I.U.T. Poitiers,Poitiers,86.0,True,BUT,Gestion des entreprises et des administrations
Ensemble scolaire Isaac de l'Etoile Les Feuillants,Poitiers,86.0,True,BTS,Tourisme
Ensemble scolaire Isaac de l'Etoile - Le Porteau,Poitiers,86.0,True,BTS,Motorisations toutes énergies
Ensemble scolaire Isaac de l'Etoile - Le Porteau,Poitiers,86.0,True,BTS,Gestion des transports et logistique associée
Lycée Du Bois D'Amour,Poitiers,86.0,True,BTS,Négociation et digitalisation de la Relation Client
I.U.T. Poitiers (site Chatellerault),Châtellerault,86.0,True,BUT,Mesures physiques
Lycée professionnel KYOTO,Poitiers,86.0,True,BTS,Diététique
Lycée professionnel KYOTO,Poitiers,86.0,True,BTS,"Développement, animation des territoires ruraux"
Lycée Suzanne Valadon,Limoges,87.0,True,BTS,Gestion de la PME
Lycée Suzanne Valadon,Limoges,87.0,True,BTS,Services informatiques aux organisations
Lycée Suzanne Valadon,Limoges,87.0,True,BTS,Economie sociale familiale
Lycée Paul Eluard,Saint-Junien,87.0,True,BTS,Tourisme
Lycée Turgot,Limoges,87.0,True,CPGE,PTSI
I.U.T du Limousin - site de Limoges,Limoges,87.0,True,BUT,Génie mécanique et productique
I.U.T du Limousin - site de Limoges,Limoges,87.0,True,BUT,Techniques de commercialisation
Lycée agricole de Limoges les Vaseix,Verneuil-sur-Vienne,87.0,True,BTS,productions animales
Université de Limoges,Limoges,87.0,False,Licence,STAPS  Limoges
Université de Limoges,Limoges,87.0,False,Licence,Anglais
Lycée Maryse Bastie,Limoges,87.0,True,BTS,Etudes de réalisation d'un projet de communication - 1ère année commune
Lycée Andre Malraux,Remiremont,88.0,True,BTS,Conception des processus de réalisation de produits (1ère année commune)
Lycée agricole de Mirecourt,Mirecourt,88.0,True,BTS,"Analyse, conduite et stratégie de l'entreprise agricole"
Lycée des Métiers - Hôtelier JBS Chardin,Gérardmer,88.0,True,BTS,Management en hôtellerie restauration
I.U.T de Saint Dié - Université de Lorraine,Saint-Dié-des-Vosges,88.0,True,BUT,Métiers du multimédia et de l'internet
CFRP de Gugnecourt,Gugnécourt,88.0,True,BTS,"Développement, animation des territoires ruraux"
Lycée Louis Davier,Joigny,89.0,True,BTS,Maintenance des véhicules option voitures particulières
Lycée Catherine et Raymond JANOT,Sens,89.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option B : Electronique et réseaux"
I.U.T de Dijon - Antenne d'Auxerre,Auxerre,89.0,True,BUT,Réseaux et télécommunications
Lycée Raoul Follereau,Belfort,90.0,True,CPGE,PTSI
Lycée Notre Dame Des Anges,Belfort,90.0,True,BTS,Management Commercial Opérationnel
IUT Nord Franche-Comté - Site de Belfort,Belfort,90.0,True,BUT,Techniques de commercialisation
IUT Nord Franche-Comté - Site de Belfort,Belfort,90.0,True,BUT,Carrières sociales parcours coordination et gestion des établissements et services sanitaires et sociaux
IUT Nord Franche-Comté - Site de Belfort,Belfort,90.0,True,BUT,Carrières sociales parcours villes et territoires durables
Lycée Robert Doisneau,Corbeil-Essonnes,91.0,True,BTS,"Cybersécurité, Informatique et réseaux, ELectronique - Option A : Informatique et réseaux"
Lycée Robert Doisneau,Corbeil-Essonnes,91.0,True,BTS,Support à l'action managériale
Lycée Robert Doisneau,Corbeil-Essonnes,91.0,True,BTS,Professions immobilières
Lycée Robert Doisneau,Corbeil-Essonnes,91.0,True,BTS,Comptabilité et gestion
Lycée Jean Baptiste Corot,Savigny-sur-Orge,91.0,True,CPGE,PCSI
Lycée Jean Baptiste Corot,Savigny-sur-Orge,91.0,True,BTS,Support à l'action managériale
Lycée Clement Ader,Athis-Mons,91.0,True,BTS,Maintenance des systèmes - option A Systèmes de production
Lycée Parc de Vilgenis,Massy,91.0,True,BTS,Assistance technique d'ingénieur
Lycée Parc de Vilgenis,Massy,91.0,True,BTS,Comptabilité et gestion
Lycée Polyvalent Institut Saint Pierre,Brunoy,91.0,True,BTS,Commerce International
Lycée Polyvalent Institut Saint Pierre,Brunoy,91.0,True,BTS,Comptabilité et gestion
ECE Paris,Paris 15e  Arrondissement,75.0,True,Ecole d'Ingénieur,bac STI2D
